Index,Variant,country,Notes,Country code,Type,Parent code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020
237,Estimates,Italy,,380,Country/Area,925,2.36,2.29,2.50,2.50,2.32,1.89,1.52,1.35,1.27,1.22,1.31,1.44,1.42,1.33
238,Estimates,Malta,,470,Country/Area,925,4.15,3.80,3.15,2.12,2.01,2.12,1.97,2.03,2.01,1.85,1.47,1.39,1.40,1.45
239,Estimates,Montenegro,,499,Country/Area,925,4.35,3.80,3.42,2.89,2.62,2.31,2.21,2.11,2.05,1.91,1.85,1.82,1.71,1.75
240,Estimates,North Macedonia,,807,Country/Area,925,5.06,4.14,3.65,3.44,2.86,2.54,2.45,2.27,2.12,1.83,1.64,1.46,1.50,1.50
241,Estimates,Portugal,,620,Country/Area,925,3.10,3.12,3.19,3.12,2.83,2.55,2.01,1.62,1.48,1.46,1.45,1.37,1.28,1.29
242,Estimates,Serbia,25,688,Country/Area,925,3.22,2.57,2.51,2.43,2.36,2.37,2.32,2.23,1.96,1.83,1.71,1.58,1.46,1.46
243,Estimates,Slovenia,,705,Country/Area,925,2.68,2.38,2.34,2.27,2.20,2.16,1.93,1.65,1.33,1.25,1.21,1.44,1.58,1.60
244,Estimates,Spain,26,724,Country/Area,925,2.53,2.70,2.81,2.84,2.85,2.55,1.88,1.46,1.28,1.19,1.28,1.45,1.33,1.33
246,Estimates,Austria,,40,Country/Area,926,2.10,2.57,2.78,2.57,2.04,1.65,1.60,1.45,1.48,1.39,1.38,1.40,1.45,1.53
247,Estimates,Belgium,,56,Country/Area,926,2.37,2.50,2.65,2.39,2.01,1.70,1.60,1.56,1.61,1.60,1.68,1.82,1.78,1.71
248,Estimates,France,27,250,Country/Area,926,2.76,2.70,2.85,2.65,2.31,1.86,1.86,1.80,1.71,1.76,1.88,1.98,1.98,1.85
249,Estimates,Germany,,276,Country/Area,926,2.13,2.27,2.47,2.36,1.71,1.51,1.46,1.43,1.30,1.35,1.35,1.36,1.43,1.59
250,Estimates,Luxembourg,,442,Country/Area,926,1.98,2.23,2.40,2.19,1.72,1.49,1.47,1.47,1.66,1.72,1.65,1.62,1.55,1.45
251,Estimates,Netherlands,28,528,Country/Area,926,3.05,3.10,3.17,2.79,2.10,1.60,1.51,1.55,1.59,1.60,1.74,1.75,1.73,1.66
252,Estimates,Switzerland,,756,Country/Area,926,2.31,2.39,2.60,2.36,1.87,1.54,1.54,1.55,1.54,1.48,1.41,1.47,1.53,1.54
254,Estimates,Canada,,124,Country/Area,918,3.65,3.88,3.68,2.61,1.98,1.73,1.63,1.62,1.69,1.56,1.52,1.64,1.60,1.53
255,Estimates,United States of America,29,840,Country/Area,918,3.31,3.58,3.23,2.54,2.03,1.77,1.80,1.91,2.03,2.00,2.04,2.06,1.88,1.78
